Protein	Pannzer
WP_003515489.1	B12-binding domain-containing radical SAM protein [Ruminiclostridium thermocellum](0.391017704399)
WP_003517961.1	Basal-body rod modification protein FlgD(0.419920772563)
WP_003521232.1	Predicted O-methyltransferase YrrM(0.50801953154)
WP_003518346.1	dockerin [Ruminiclostridium thermocellum](0.644460410706)
WP_003516982.1	Cellulosome anchoring protein cohesin region(0.785026503036)
WP_003512386.1	Magnesium chelatase(0.359342520776)
WP_003516700.1	Extracellular solute-binding protein family 1(0.317183986209)
WP_003517352.1	Bicarbonate transport system permease protein CmpB(0.434095231319)
ADU75853.1	Transposase DDE domain(0.389731360187)
WP_003512401.1	HAD-superfamily hydrolase, subfamily IA, variant 1(0.379397194192)
WP_003521725.1	Methyl-accepting chemotaxis protein(0.409955107496)
ADU75877.1	Methionyl-tRNA formyltransferase(0.6077996292)
WP_003519033.1	Zinc-dependent protease(0.433891664473)
WP_003519804.1	Mobile element protein(0.304185315749)
WP_003517971.1	Flagellar motor switch protein FliM(0.603551163096)
WP_003516271.1	Putative HTH-type transcriptional regulator YurK(0.434542699878)
WP_003521200.1	AI-2E family transporter [Ruminiclostridium thermocellum](0.435064529406)
WP_003513356.1	Inner membrane protein translocase component YidC(0.387585512987)
WP_003519227.1	Spermidine N(1)-acetyltransferase(0.393102428053)
WP_003519031.1	30S ribosomal protein S15(0.528088424459)
WP_003515668.1	DNA-binding transcriptional activator PspC(0.59493821185)
WP_003517989.1	Purine-binding chemotaxis protein CheW(0.474978795933)
WP_003513789.1	Membrane protein PF10080 family(0.695550883091)
WP_003512411.1	Serine-pyruvate aminotransferase/archaeal aspartate aminotransferase(0.425061188987)
WP_003515591.1	Cellooligosaccharide ABC transporter membrane protein(0.782866841977)
WP_003514128.1	Spore germination protein GerKA(0.46759218781)
WP_003518588.1	4-hydroxythreonine-4-phosphate dehydrogenase PdxA(0.607212213329)
WP_003518031.1	General stress protein 69(0.406535341379)
WP_003513101.1	Sulfate ABC transporter sulfate-binding protein CysP(0.464079396015)
WP_003512970.1	ATP synthase subunit a(0.30183745692)
WP_003517593.1	Zinc-dependent protease(0.552896358075)
WP_003512454.1	Response regulator receiver sensor signal transduction histidine kinase(0.290424810473)
ADU75560.1	Acetylglutamate kinase(0.569606928751)
WP_003513374.1	Ig domain protein group 1 domain protein(0.479887863012)
WP_003515304.1	Probable electron transfer protein(0.397752092395)
WP_003514144.1	Asp23 family, cell envelope-related function(0.589246854754)
WP_003516409.1	Ribose import ATP-binding protein RbsA(0.488646671311)
WP_003513372.1	Carboxylating nicotinate-nucleotide diphosphorylase(0.471769986806)
WP_003515306.1	Methylcobamide--CoM methyltransferase(0.504632545694)
WP_003514146.1	Sporulation protein YtxC(0.513393876932)
WP_003511751.1	B12-binding domain-containing radical SAM protein (Fragment)(0.37361637145)
WP_003518270.1	Oxidoreductase(0.406419054406)
WP_003518660.1	4-hydroxy-tetrahydrodipicolinate reductase(0.650442320028)
WP_003519202.1	Putative zinc ribbon domain-containing protein(0.657433043846)
WP_003513117.1	II family cellulose-binding protein(0.826630289477)
WP_003518662.1	Cob(I)yrinic acid a c-diamide adenosyltransferase(0.631502863993)
WP_003519204.1	TIR domain-containing protein [Ruminiclostridium thermocellum](0.581585780692)
WP_003517585.1	Phosphate regulon sensor protein PhoR(0.344599059011)
WP_003514908.1	N-acetyltransferase [Ruminiclostridium thermocellum](0.252940239376)
WP_003517604.1	High-affinity zinc uptake system ATP-binding protein ZnuC(0.512321154542)
WP_080547380.1	Flagellin protein FlaA(0.474966449918)
WP_003517900.1	Cell division protein FtsA(0.377219615138)
WP_003516419.1	copper amine oxidase [Ruminiclostridium thermocellum](0.39828902271)
WP_003512420.1	Glucanase(0.469793562908)
WP_003512678.1	Cellooligosaccharide ABC transporter ATP-binding protein(0.574432528876)
WP_003518296.1	VTC domain(0.616787975005)
WP_003514130.1	Spore gernimation protein(0.384017092854)
ADU74011.1	Bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC(0.502287856862)
WP_003512422.1	Putative substrate binding protein (Fragment)(0.605433705994)
WP_003518803.1	Histidinol-phosphate aminotransferase(0.424424075225)
WP_003513610.1	N-acetylglucosaminylphosphatidylinositol deacetylase(0.529619174792)
WP_003517102.1	TupA-like ATPgrasp polysaccharide biosynthesis protein(0.549156172209)
WP_003512440.1	Glycogen synthase(0.573911510919)
WP_003517742.1	DNA adenine methylase Dam(0.551282582362)
WP_003516298.1	M19 familiy membrane dipeptidase(0.5142148469)
WP_003515680.1	Cysteine desulfurase NifS(0.407405557183)
WP_003514500.1	Methyl-accepting chemotaxis protein methyltransferase(0.477738280236)
WP_003518982.1	SOS response transcriptional repressor, RecA-mediated autopeptidase(0.379212300221)
WP_003512424.1	Diguanylate cyclase and metal dependent phosphohydrolase(0.288261337859)
WP_003514830.1	Cell division protein FtsK(0.489158067629)
WP_003512093.1	Methylenetetrahydrofolate reductase(0.503591728913)
WP_003517144.1	3-dehydroquinate dehydratase II(0.619948018796)
WP_003519027.1	Glucanase(0.327042084062)
WP_003513376.1	Signal transduction protein with CBS domains(0.488322084786)
WP_003515682.1	Type IV pilus assembly PilZ(0.419998923336)
WP_014522646.1	Transposase DDE domain(0.367944728533)
WP_003514832.1	copper amine oxidase [Ruminiclostridium thermocellum](0.737455964218)
WP_003517213.1	Positive regulator of CheA protein activity(0.430872673629)
WP_003515027.1	colicin V production protein [Ruminiclostridium thermocellum](0.457245868653)
WP_003512368.1	VTC domain-containing protein(0.528744284739)
WP_003515843.1	Redox-sensing transcriptional repressor Rex(0.66548869993)
WP_003518669.1	Homotetrameric NADPH-dependent glutamate synthase(0.503199356383)
WP_003514572.1	ATP phosphoribosyltransferase regulatory subunit(0.575557650884)
WP_003512366.1	Putative two component transcriptional regulator, winged helix family(0.411754614141)
WP_003518076.1	Glutamate synthase domain-containing protein 2(0.479911989244)
WP_003518740.1	endoglucanase [Ruminiclostridium thermocellum](0.463715409549)
WP_003516311.1	signal peptidase I [Ruminiclostridium thermocellum](0.319277710121)
WP_003518883.1	ATP-dependent Clp protease adapter protein ClpS(0.573986486645)
WP_003519478.1	copper amine oxidase [Ruminiclostridium thermocellum](0.625323040694)
WP_003518405.1	Lipoteichoic acid synthase LtaS type IVa(0.474233249229)
WP_003514458.1	Cystathionine gamma-synthase MetB(0.596184386138)
WP_003518303.1	Tryptophan synthase alpha chain(0.524739697085)
WP_003516651.1	Spore gernimation protein(0.455207905133)
WP_003516280.1	Spermidine/putrescine transport system substrate-binding protein/spermidine/putrescine transport system permease protein(0.446176120349)
WP_003518584.1	Signal recognition particle-docking protein FtsY(0.504670375741)
WP_003516637.1	Ricin B lectin(0.448848944621)
WP_003518407.1	PhoU domain-containing protein (Fragment)(0.357290800645)
WP_003517993.1	RNA polymerase sigma factor for flagellar operon FliA(0.372244136528)
WP_003514456.1	Endoribonuclease L-PSP(0.450857883642)
WP_003512755.1	Transketolase C-terminal section(0.440137966185)
WP_003516301.1	YraN family protein (Fragment)(0.60783399564)
WP_003515023.1	preprotein translocase subunit SecE [Ruminiclostridium thermocellum](0.373896047532)
WP_003513413.1	UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase(0.355519154391)
WP_003513630.1	DNA-binding domain-containing protein, AraC-type(0.286923178014)
WP_003512608.1	Predicted nucleotide-binding protein, sugar kinase/HSP70/actin superfamily(0.789165635848)
WP_003511598.1	Carbohydrate-binding CenC domain protein(0.51738998095)
WP_003517211.1	glycosyl transferase [Ruminiclostridium thermocellum](0.47872660931)
WP_003515025.1	Acetolactate synthase(0.53203019877)
WP_003513411.1	Lipopolysaccharide biosynthesis protein WzxC(0.414035633766)
WP_003517817.1	dCTP deaminase, dUMP-forming(0.692094343754)
WP_003515945.1	Corrinoid ABC transporter permease(0.370030668559)
WP_003513294.1	Heat induced stress protein YflT(0.565464142785)
WP_003517981.1	Flagellar biosynthetic protein FliR(0.535713458652)
WP_003517654.1	Serine/threonine protein kinase with PASTA sensor(S)(0.511376440146)
WP_003512317.1	Glucose-6-phosphate isomerase(0.640071829399)
WP_003512650.1	Pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel insertion protein(0.785740437011)
WP_003515856.1	Beta-monoglucosyldiacylglycerol synthase(0.510936123629)
WP_003511564.1	3-phosphoshikimate 1-carboxyvinyltransferase(0.456075647176)
WP_014522658.1	tRNA 2-thiocytidine biosynthesis protein TtcA(0.603786508877)
WP_003513713.1	Transcription termination factor Rho(0.524582256462)
WP_003512315.1	Phenylalanine--tRNA ligase beta subunit(0.507864507418)
WP_003515850.1	Translation elongation factor EF-G(0.484715499882)
WP_003517955.1	Flagellar export protein FliJ(0.456275860447)
WP_003518307.1	ABC transporter permease [Ruminiclostridium thermocellum](0.409337334376)
WP_003512313.1	Phenylalanine--tRNA ligase alpha subunit(0.527843583011)
WP_003520721.1	peptidoglycan bridge formation glycyltransferase FemA/FemB family protein [Ruminiclostridium thermocellum](0.427459385778)
WP_003512991.1	GH10 domain-containing protein(0.699067760963)
WP_003513282.1	Pyruvate ferredoxin oxidoreductase gamma subunit(0.749747464008)
WP_003515536.1	3'-to-5' oligoribonuclease A(0.471360094687)
WP_003518305.1	Tryptophan synthase beta chain(0.518678757564)
WP_003517805.1	IIB family HAD hydrolase(0.378272060877)
WP_003511984.1	Sugar fermentation stimulation protein(0.678254970574)
WP_003516360.1	Orotate phosphoribosyltransferase(0.560202857149)
WP_003518483.1	V-type ATP synthase subunit G(0.633162478153)
WP_003517450.1	Bifunctional purine biosynthesis protein PurH(0.523972015197)
WP_003519126.1	Arsenate-mycothiol transferase ArsC2(0.354001907628)
WP_003517496.1	Sensor protein DegS and signal transduction histidine kinase(0.386584559578)
WP_003519331.1	Nucleoid-associated bacterial protein(0.683988690627)
WP_003514654.1	50S ribosomal protein L18(0.527949126838)
WP_003512981.1	Ribose 5-phosphate isomerase B(0.521969213658)
WP_003514192.1	Ribosomal RNA small subunit methyltransferase A(0.495966673838)
ADU74874.1	RNA polymerase sigma factor SigI(0.76697462898)
WP_003511560.1	Response regulator PleD(0.362713571231)
WP_003519333.1	Putative peptidoglycan binding domain-containing protein(0.479073229854)
WP_003516223.1	S-adenosylmethionine decarboxylase proenzyme(0.700636412768)
WP_003514439.1	Bicarbonate transport system permease protein CmpB(0.434909814721)
WP_003512652.1	Elp3 domain-containing protein(0.479850686714)
WP_003515854.1	Protein-arginine kinase(0.78826170706)
WP_003514852.1	Transcription elongation factor GreAB(0.41402341338)
WP_003517087.1	Acetobutylicum phosphotransbutyrylase(0.792336386979)
WP_003516269.1	Pyrrolo-quinoline quinone(0.643319421383)
WP_003515543.1	DUF448 domain-containing protein(0.605339709683)
WP_003518218.1	Aspartokinase(0.624443738367)
WP_003519144.1	2-aminophenol 1,6-dioxygenase alpha subunit(0.602861538528)
WP_003515923.1	Efflux RND transporter periplasmic adaptor subunit(0.278624467051)
WP_003520857.1	zf-HC2 domain-containing protein(0.284221999575)
WP_003513387.1	Aminotransferase DegT(0.484573185159)
WP_003514437.1	ABC-type nitrate/sulfonate/bicarbonate transport system ATPase component(0.390512931556)
WP_003519142.1	Pyruvate-formate lyase-activating enzyme PflA(0.582830817193)
WP_003517189.1	Putative ketoisovalerate oxidoreductase subunit VorD(0.43361461818)
WP_003515275.1	Lysine--tRNA ligase(0.637959977409)
WP_003513385.1	Capsular polysaccharide biosynthesis(0.446099734205)
WP_003517936.1	DNA protecting protein, SMF familiy(0.50921436482)
WP_003516214.1	Cytidylate kinase(0.548114661128)
WP_003515277.1	Sensory transduction protein kinase(0.306717913233)
WP_003514302.1	50S ribosomal protein L7ae-like protein [Ruminiclostridium thermocellum](0.544361044203)
WP_003517452.1	Phosphoribosylglycinamide formyltransferase(0.540660937806)
WP_003517938.1	DNA topoisomerase 1(0.537828275468)
WP_003513811.1	Septal ring factor EnvC, activator of murein hydrolases AmiA and AmiB(0.365740849422)
WP_003519437.1	ABC transporter(0.326876704625)
WP_003516909.1	Pyridoxal-dependent decarboxylase(0.685988791363)
WP_003512259.1	Epoxyqueuosine reductase QueH(0.701839278267)
WP_003514320.1	Serine/threonine protein phosphatase(0.408533494471)
WP_003518722.1	DNA repair protein RecN(0.530021241438)
WP_003517916.1	Transcriptional repressor NrdR(0.555104276458)
WP_003518897.1	50S ribosomal protein L20(0.520225022684)
WP_003515523.1	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase(0.520083931697)
WP_003512257.1	Holliday junction ATP-dependent DNA helicase RuvB(0.514141535589)
WP_003517545.1	5-formyltetrahydrofolate cyclo-ligase [Ruminiclostridium thermocellum](0.350536000204)
WP_003515416.1	Ribosomal protein L7/L12 C-terminal domain-containing protein(0.498279034768)
WP_003514322.1	Trigger factor(0.553511983279)
WP_003517875.1	acyl carrier protein [Ruminiclostridium thermocellum](0.438344526764)
WP_003512606.1	peptidyl-prolyl cis-trans isomerase [Ruminiclostridium thermocellum](0.299705682606)
WP_003520976.1	Iron-only hydrogenase maturation protein HydG(0.768368525917)
WP_003517569.1	Predicted Fe-S oxidoreductases(0.412086451183)
WP_003517877.1	alpha/beta hydrolase [Ruminiclostridium thermocellum](0.521302942942)
WP_003519146.1	Beta-lactamase class A(0.324221995898)
WP_003513827.1	Carbamoyl-phosphate synthase large chain(0.528694208694)
WP_003512921.1	UDP-N-acetylmuramate--L-alanine ligase(0.629284075888)
WP_003517940.1	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO(0.747175810933)
WP_080552882.1	Methyl-accepting chemotaxis sensory transducer(0.345042916603)
WP_003516014.1	Amidoligase enzyme(0.800266352736)
WP_003515992.1	VRR-NUC domain(0.528753876722)
WP_003513433.1	Cellulosome anchoring protein cohesin region(0.48854216578)
WP_003518004.1	Exonuclease RNase T and DNA polymerase III(0.330709088001)
WP_003519433.1	Alcohol acetyltransferase(0.474445279976)
WP_003518268.1	Xyloglucanase(0.799042896248)
WP_003517920.1	Cellulosome anchoring protein cohesin region(0.786757426695)
WP_003512894.1	Nucleotidyltransferase(0.420271982482)
WP_003514775.1	ECF transporter S component(0.426779977116)
WP_003516279.1	Peptidase S7 flavivirus helicase (NS3)(0.790983822921)
WP_003515279.1	Transcriptional regulatory protein SrrA(0.30690483203)
WP_003519431.1	MoxR-like ATPases(0.387256160439)
ADU75724.1	GTPase HflX(0.560745479468)
WP_003516692.1	Alpha-L-arabinofuranosidase B(0.373498611642)
WP_003515694.1	sporulation protein YqfC [Ruminiclostridium thermocellum](0.593504916382)
WP_003512896.1	4-amino-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) acetyltrasferase(0.56002080104)
WP_003518895.1	tRNA/rRNA methyltransferase YsgA(0.431098059076)
WP_003517485.1	copper amine oxidase [Ruminiclostridium thermocellum](0.405647060172)
WP_003517959.1	Flagellar hook-length control protein FliK(0.343980665961)
WP_003517983.1	Flagellar biosynthesis protein FlhA(0.611357855688)
WP_003519072.1	Dockerin type I repeat-containing domain protein(0.356817733105)
WP_003512224.1	Predicted response regulator(0.368136396272)
WP_003513011.1	NMT1 domain-containing protein (Fragment)(0.448770306328)
WP_003511777.1	CobQ/CobB/MinD/ParA nucleotide binding domain-containing protein(0.551288793648)
WP_003513807.1	Small acid-soluble spore protein beta(0.784061335264)
WP_003519421.1	Oligopeptide/dipeptide ABC transporter ATPase(0.360451498757)
WP_003512222.1	4Fe-4S double cluster binding domain-containing protein(0.787550809341)
WP_003512204.1	50S ribosomal protein L27(0.531854360522)
WP_003517549.1	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase(0.713087056506)
WP_003519351.1	Stage V sporulation protein SpoVB(0.797518397954)
WP_003518379.1	Endoglucanase Z(0.629231604407)
WP_003518881.1	Probable membrane transporter protein(0.507497392642)
WP_003517112.1	Tyrosine-protein kinase YwqD(0.331092519783)
WP_003512704.1	Anti-sigma factor domain-containing protein(0.387841248254)
WP_003516489.1	Deacetylase sirtuin-type domain-containing protein(0.432085837262)
WP_003512919.1	Hypoxanthine DNA-binding transcriptional repressor PurR(0.776802335675)
WP_003519189.1	RNA polymerase sigma factor SigV(0.373378756842)
WP_003513389.1	N-acetyltransferase [Ruminiclostridium thermocellum](0.265421714456)
WP_003517988.1	Two-component system chemotaxis sensor kinase CheA(0.553642423431)
WP_003517497.1	DUF362 domain-containing protein (Fragment)(0.569468272906)
WP_003514788.1	Cephalosporin-C deacetylase(0.791065438322)
WP_003515600.1	Acyl-phosphate glycerol-3-phosphate acyltransferase(0.58715227446)
WP_003517036.1	Signal peptidase I(0.484529574386)
WP_003515330.1	Type A flavoprotein fprA(0.526028971798)
WP_003517495.1	LuxR family two component transcriptional regulator(0.356345796614)
WP_003515602.1	GTPase Der(0.561247307873)
WP_003517038.1	Aspartate--tRNA ligase(0.637815265612)
WP_003518940.1	Biotin synthesis protein BioC(0.533842872672)
ADU75126.1	DUF523 domain-containing protein(0.755093455059)
WP_003517493.1	Phosphoglucomutase,Phosphoglucomutase,phosphogluc omutase,Deoxyribose-phosphate aldolase,phosphoglucosamine mutase,Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I(0.525091756127)
WP_003513421.1	YycH domain-containing protein(0.736197779309)
WP_003519199.1	Predicted acetyltransferase(0.279431678674)
WP_003519029.1	Polypeptide composition of the spore coat protein CotJB(0.594614063249)
WP_003513399.1	Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase(0.358316516532)
WP_003511610.1	7-cyano-7-deazaguanine synthase(0.687357610082)
WP_003513643.1	Isoaspartyl dipeptidase(0.773529427446)
WP_003516388.1	Cyclomaltodextrinase(0.436695611798)
WP_003520526.1	dTDP-4-dehydrorhamnose 3,5-epimerase(0.482064778622)
WP_003515342.1	Glycoside hydrolase(0.36192129248)
WP_003517918.1	DUF115 domain-containing protein [Ruminiclostridium thermocellum](0.377326158299)
WP_003512521.1	L-fuculose phosphate aldolase(0.404617154241)
WP_003516923.1	hydrogenase [Ruminiclostridium thermocellum](0.500992272115)
WP_003513904.1	S-layer homology domain-containing protein [Ruminiclostridium thermocellum](0.473707901528)
WP_003516495.1	Thiazole synthase(0.613440791116)
WP_003512414.1	Methyl-accepting chemotaxis sensory transducer(0.259509845904)
WP_003515616.1	Glutamyl-tRNA(Gln) amidotransferase subunit A(0.536316211007)
WP_003517142.1	Xaa-Pro dipeptidase(0.438268885121)
WP_003512523.1	Cytochrome c biogenesis factor(0.360702367165)
WP_003517487.1	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase PgsA(0.428335183931)
WP_003519185.1	Phosphoglycerate mutase(0.43049708847)
WP_003521052.1	Nucleotide-diphospho-sugar transferases(0.377895022821)
WP_003512416.1	Anti-sigma-I factor RsgI2(0.784587102133)
WP_003515614.1	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B(0.547252409029)
WP_003512702.1	RNA polymerase sigma factor SigI(0.764756833431)
WP_003512917.1	Septation protein SpoVG(0.78469988517)
WP_003517869.1	p-loop-containing kinase(0.646210129733)
WP_003515618.1	Aspartyl-tRNA(Asn) amidotransferase subunit C @ Glutamyl-tRNA(Gln) amidotransferase subunit C(0.557386594543)
WP_003512178.1	Protein-export membrane protein SecG(0.549958968028)
ADU74371.1	Extracellular solute-binding protein family 5(0.298388401735)
WP_003514668.1	KOW domain-containing protein(0.358533738034)
WP_003513155.1	Mannose-6-phosphate isomerase, cupin superfamily(0.447019724372)
WP_003512990.1	Zinc-ribbon domain-containing protein(0.253118109749)
WP_003515551.1	RIP metalloprotease RseP [Ruminiclostridium thermocellum](0.353319362721)
WP_003515651.1	regulatory protein RecX [Ruminiclostridium thermocellum](0.506738590559)
WP_003513493.1	Amino acid ABC transporter permease(0.372546074921)
WP_003517862.1	Glycosyl hydrolase(0.49021779971)
WP_003512176.1	Diguanylate cyclase and metal dependent phosphohydrolase(0.320194285637)
WP_003513153.1	3D domain-containing protein(0.293766918286)
WP_003517944.1	Flagellar basal-body rod protein FlgC(0.509573963782)
WP_003516871.1	Dockerin type 1(0.395046103823)
WP_003516864.1	Type III restriction protein res subunit(0.348049032327)
WP_003513829.1	Bifunctional argininosuccinate lyase/N-acetylglutamate synthase(0.454973040309)
WP_003514898.1	LysM peptidoglycan-binding domain-containing protein [Ruminiclostridium thermocellum](0.4987815864)
WP_003511612.1	6-pyruvoyl tetrahydrobiopterin synthase(0.573288098712)
WP_003521881.1	DUF155 domain-containing protein(0.788700906292)
WP_003519574.1	copper amine oxidase [Ruminiclostridium thermocellum](0.513929237283)
WP_003515505.1	Phospho-N-acetylmuramoyl-pentapeptide-transferase(0.468645238819)
WP_003517946.1	Flagellar hook-basal body complex protein FliE(0.581929456267)
WP_003516386.1	Cystathionine beta-lyase family protein involved in aluminum resistance(0.69259835767)
WP_003515791.1	Phytochrome-like protein cph1(0.350005701743)
WP_003516876.1	Mannosyltransferase related to Gpi18(0.577151769868)
WP_003518645.1	TIGR04086 family membrane protein [Ruminiclostridium thermocellum](0.815841166238)
WP_003511692.1	RNA methylase(0.530877383605)
ADU74300.1	Transcriptional regulator MraZ(0.557625117535)
WP_003516134.1	Glucose-1-phosphate adenylyltransferase(0.652512211537)
WP_003512427.1	D-2-hydroxyacid dehydrogenase Ddh(0.541990945442)
WP_003514606.1	Transcription elongation factor GreA(0.504799948873)
WP_003517058.1	Pertussis toxin liberation protein H(0.400258788583)
WP_003518356.1	Sulfur transfer protein involved in thiamine biosynthesis(0.544909786829)
WP_003519014.1	Muts-related protein, family(0.473017589737)
WP_003513130.1	Small subunit of acetolactate synthase(0.443272315782)
WP_003516132.1	Glycogen biosynthesis protein GlgD(0.556615340612)
WP_003511715.1	Enoyl-ACP reductase FabI(0.589718723974)
WP_003517928.1	Mg chelatase subunit ChlI(0.436943868113)
WP_003512418.1	RNA polymerase sigma factor SigI(0.687689152103)
WP_003520544.1	tRNA(Met) cytidine acetate ligase(0.706178127206)
WP_003513110.1	Porphobilinogen deaminase(0.588775563857)
WP_003512903.1	N-acetylneuraminate cytidylyltransferase(0.578716917127)
WP_003512627.1	membrane protein [Ruminiclostridium thermocellum](0.393452181658)
WP_003515803.1	Urea ABC transporter ATP-binding subunit UrtE(0.531623300242)
WP_003518603.1	Malonyl CoA-acyl carrier protein transacylase(0.540347429111)
WP_003517499.1	Arabinoxylan arabinofuranohydrolase(0.399577759512)
ADU75571.1	Transcriptional regulator YqjI(0.362580304982)
WP_003520446.1	3-isopropylmalate dehydratase small subunit(0.537837168302)
ADU75920.1	V-type ATP synthase alpha chain(0.735359069027)
WP_003515296.1	Pyruvate ferredoxin oxidoreductase delta subunit(0.4826231521)
WP_003514577.1	Imidazoleglycerol-phosphate dehydratase HisB(0.613650908994)
WP_003518875.1	Tryptophan synthase beta chain(0.497644589011)
WP_003518445.1	Transcription accessory protein (S1 RNA-binding domain)(0.446850055297)
WP_003514381.1	Putative HTH-type transcriptional regulator YdeE(0.462437341219)
WP_003515819.1	RNA polymerase, sigma-24 subunit, RpoE(0.325884487523)
WP_003519349.1	Bacitracin ABC transporter, ATP-binding protein BcrA family protein(0.318960266561)
WP_003511696.1	rRNA pseudouridine synthase(0.455835553816)
WP_003514399.1	Transcriptional regulator(0.399302999244)
WP_003515294.1	Pyruvate ferredoxin oxidoreductase alpha subunit(0.603867518979)
WP_003518673.1	FtsX domain-containing protein(0.686768690043)
WP_003515721.1	dTDP-glucose 4,6-dehydratase 2(0.686420355895)
WP_003518647.1	Carbohydrate binding family 25(0.799976804046)
WP_003518263.1	Major cardiolipin synthase ClsA(0.544590042777)
WP_003513908.1	Predicted Zn-dependent hydrolases of the beta-lactamase fold(0.676380474138)
WP_003514377.1	Metallo-beta-lactamase superfamily hydrolase(0.306273729534)
WP_003516852.1	pectate lyase [Ruminiclostridium thermocellum](0.32018159772)
WP_003515715.1	Spore coat-associated protein S(0.575230353396)
WP_003514472.1	Endoglucanase C(0.528169163569)
WP_003516678.1	Diaminopimelate decarboxylase(0.541171419062)
WP_003515572.1	Endolytic murein transglycosylase(0.523423000689)
WP_003516304.1	Flagellar hook-length control protein FliK(0.375640227805)
WP_003513657.1	Glycoside hydrolase(0.342914021975)
WP_003512623.1	Glycogen phosphorylase GlgP(0.74221403963)
WP_003515807.1	Urease subunit beta(0.434867720945)
WP_003512905.1	Oligosaccharide repeat unit polymerase Wzy(0.449306560049)
WP_003516306.1	Ribonuclease HII(0.563786666001)
WP_003518655.1	Amidase enhancer(0.459716390275)
WP_003515805.1	Urease subunit gamma(0.647900777321)
WP_003517891.1	UDP-N-acetylmuramyl tripeptide synthase(0.72553439044)
WP_003518557.1	50S ribosomal protein L2(0.533143080573)
WP_003518635.1	Orotidine 5'-phosphate decarboxylase(0.549298297375)
WP_003514920.1	Peptide methionine sulfoxide reductase MsrA(0.483816355068)
WP_003516659.1	Ribonuclease H(0.566312815033)
WP_003512592.1	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase(0.559456435211)
WP_003516878.1	Carbohydrate-binding CenC domain protein(0.588725980749)
WP_003511789.1	Photosystem reaction center subunit H(0.439132955997)
WP_003520229.1	glycoside hydrolase [Ruminiclostridium thermocellum](0.370516504046)
WP_003514483.1	Mannan endo-1 4-beta-mannosidase(0.588788025148)
WP_003516505.1	N-acetyltransferase [Ruminiclostridium thermocellum](0.303460385439)
WP_003516826.1	Cell division protein FtsX(0.359674870551)
WP_003516668.1	Pyrimidine-nucleoside phosphorylase/thymidine phosphorylase(0.659492211984)
WP_003517948.1	Flagellar basal-body M-ring protein/flagellar hook-basal body protein FliF(0.523197899564)
WP_003517461.1	Auxin Efflux Carrier(0.427005739283)
WP_003517126.1	Phosphoesterase(0.36603678018)
WP_003513635.1	3-isopropylmalate dehydratase large subunit(0.535541016148)
WP_003516828.1	Transcription activator effector binding(0.333817752567)
WP_003514467.1	Putative ABC transporter ATP-binding protein MJ0412(0.42243979769)
WP_003517243.1	RNA polymerase sigma factor SigA(0.605398983565)
WP_003518452.1	Magnesium transporter MgtE(0.512434696631)
WP_003513649.1	GTP cyclohydrolase I(0.538360303579)
WP_003518771.1	Stage III sporulation protein AE(0.649816691974)
WP_003521321.1	Acetyltransferase(0.249822840806)
WP_003515020.1	50S ribosomal protein L1(0.530825509679)
WP_003513594.1	Spore coat polysaccharide biosynthesis protein SpsF(0.627405571501)
WP_003514465.1	Bicarbonate transport system permease protein CmpB(0.394758401175)
WP_003517241.1	rubrerythrin [Ruminiclostridium thermocellum](0.774190883324)
WP_003518450.1	RDD family protein [Ruminiclostridium thermocellum](0.376178406545)
WP_003518777.1	Stage III sporulation protein SpoAB(0.660210388779)
WP_003515031.1	Putative membrane protein YkvI(0.408117262995)
WP_003518935.1	Biotin synthase BioB(0.566199738761)
WP_003515022.1	Transcription termination/antitermination protein NusG(0.540719890899)
WP_003514914.1	Cysteine protease YraA(0.423728077249)
WP_003520172.1	CCA tRNA nucleotidyltransferase(0.509972321417)
WP_003514173.1	DNA polymerase IV(0.523055063762)
WP_003518761.1	Alkaline shock response membrane anchor protein AmaP(0.487554655909)
WP_003516337.1	DNA mismatch repair protein MutL(0.314532318138)
WP_003515760.1	Type IV pilin PilA(0.401759116135)
WP_003517237.1	tRNA (Adenine-N1)-methyltransferase(0.594420179652)
WP_003512596.1	Fructose-bisphosphate aldolase class II(0.642887259043)
WP_003518763.1	Alkaline shock protein 23(0.53690335749)
WP_003514846.1	HAMP domain-containing protein [Ruminiclostridium thermocellum](0.262418218042)
WP_003518649.1	Sec translocon accessory complex subunit YajC(0.49981394492)
WP_003516308.1	Lactate utilization protein B/C(0.672160408624)
WP_003513270.1	Spore coat protein CotS(0.784643239302)
WP_003517353.1	ABC-type nitrate/sulfonate/bicarbonate transport systems, periplasmic components(0.427831282668)
