#;Locus tag;Length;Product;Completeness;Gene onthology;SEED;Protein databases;Genome annotation databases;Family and domain databases;Crossreferences;
564;WP_003513588.1 motility associated factor glycosyltransferase family protein [Hungateiclostridium thermocellum];470;Uncharacterized protein;100.00% [470/470];;;Uniprot (A3DHK6)|Interpro (A3DHK6);KEGG (cth:Cthe_2233)|KEGG GM (cth:Cthe_2233);Interpro (IPR002826)|Pfam (PF01973);NCBI (489609147)|EMBL (CP000568);
565;WP_004463317.1 hypothetical protein [Hungateiclostridium thermocellum];143;HutP family protein;99.31% [143/144];;;Uniprot (A3DDB6)|Interpro (A3DDB6);KEGG (cth:Cthe_0710)|KEGG GM (cth:Cthe_0710);Interpro (IPR015111)|Pfam (PF09021);NCBI (500163220)|EMBL (CP000568);
566;WP_003519005.1 hypothetical protein [Hungateiclostridium thermocellum];27;Mutator family transposase;30.00% [27/90];GO:0003677 - DNA binding|GO:0004803 - transposase activity|GO:0006313 - transposition DNA-mediated;;Uniprot (A0A523QHB3)|Interpro (A0A523QHB3);;Interpro (IPR001207)|Pfam (PF00872);EMBL (SOKU01000283);
567;ADU75438.1 hypothetical protein Clo1313_2424 [Hungateiclostridium thermocellum DSM 1313];Blast running;;;;;;;;;
568;WP_037294864.1 hypothetical protein [Hungateiclostridium thermocellum];83;Uncharacterized protein;96.51% [83/86];;;Uniprot (A0A367ZAA9)|Interpro (A0A367ZAA9);;;EMBL (QOQU01000004);
569;WP_003512779.1 hypothetical protein [Hungateiclostridium thermocellum];165;Uncharacterized protein;100.00% [165/165];;;Uniprot (A3DIX0)|Interpro (A3DIX0);KEGG (cth:Cthe_2700)|KEGG GM (cth:Cthe_2700);;NCBI (489608338)|EMBL (CP000568);
570;WP_003519206.1 hypothetical protein [Hungateiclostridium thermocellum];178;Uncharacterized protein;100.00% [178/178];GO:0016021 - integral component of membrane;;Uniprot (A3DFE8)|Interpro (A3DFE8);KEGG (cth:Cthe_1447)|KEGG GM (cth:Cthe_1447);;NCBI (489614765)|EMBL (CP000568);
571;WP_014522652.1 hypothetical protein [Hungateiclostridium thermocellum];74;Uncharacterized protein;64.35% [74/115];GO:0016021 - integral component of membrane;;Uniprot (A3DH14)|Interpro (A3DH14);KEGG (cth:Cthe_2032)|KEGG GM (cth:Cthe_2032);Interpro (IPR013783);NCBI (521293422)|EMBL (CP000568);
572;ADU75526.1 hypothetical protein Clo1313_2521 [Hungateiclostridium thermocellum DSM 1313];1085;Uncharacterized protein;97.57% [1085/1112];;;Uniprot (A3DGH1)|Interpro (A3DGH1);KEGG (cth:Cthe_1829)|KEGG GM (cth:Cthe_1829);;NCBI (125714558)|EMBL (CP000568);
573;WP_003519474.1 hypothetical protein [Hungateiclostridium thermocellum];159;Uncharacterized protein;100.00% [159/159];;;Uniprot (A3DKE7)|Interpro (A3DKE7);KEGG (cth:Cthe_3231)|KEGG GM (cth:Cthe_3231);;NCBI (489615033)|EMBL (CP000568);
574;WP_049756132.1 hypothetical protein [Ruminiclostridium thermocellum];63;Uncharacterized protein;95.45% [63/66];;;Uniprot (W4VCF5)|Interpro (W4VCF5);;Interpro (IPR032349)|Pfam (PF16157);NCBI (740459914)|EMBL (BAVR01000104);
575;WP_003514047.1 MULTISPECIES: hypothetical protein [Hungateiclostridium];104;Uncharacterized protein;100.00% [104/104];;;Uniprot (W4VDS8)|Interpro (W4VDS8);;;NCBI (489609606)|EMBL (BAVR01000112);
576;WP_003517819.1 hypothetical protein [Hungateiclostridium thermocellum];303;Uncharacterized protein;99.34% [303/305];GO:0016021 - integral component of membrane;;Uniprot (A3DFH5)|Interpro (A3DFH5);KEGG (cth:Cthe_1475)|KEGG GM (cth:Cthe_1475);;NCBI (500163421)|EMBL (CP000568);
577;WP_003518807.1 DUF3592 domain-containing protein [Hungateiclostridium thermocellum];232;Uncharacterized protein;99.57% [232/233];GO:0016021 - integral component of membrane;;Uniprot (A3DJE2)|Interpro (A3DJE2);KEGG (cth:Cthe_2873)|KEGG GM (cth:Cthe_2873);Interpro (IPR021994)|Pfam (PF12158);NCBI (521293686)|EMBL (CP000568);
578;WP_003512325.1 hypothetical protein [Hungateiclostridium thermocellum];114;Uncharacterized protein;100.00% [114/114];;;Uniprot (A3DBY3)|Interpro (A3DBY3);KEGG (cth:Cthe_0221)|KEGG GM (cth:Cthe_0221);;NCBI (489607884)|EMBL (CP000568);
579;WP_003516007.1 MULTISPECIES: hypothetical protein [Clostridia];111;Uncharacterized protein;100.00% [111/111];;;Uniprot (K4LHZ7)|Interpro (K4LHZ7);KEGG (tpz:Tph_c23230)|KEGG GM (tpz:Tph_c23230);;NCBI (489611566)|EMBL (CP003732);
580;WP_003519085.1 hypothetical protein [Hungateiclostridium thermocellum];70;Uncharacterized protein;49.65% [70/141];;;Uniprot (G2JC66)|Interpro (G2JC66);KEGG (cth:Cthe_3309)|KEGG GM (cth:Cthe_3309);;NCBI (345548279)|EMBL (CP000568);
581;WP_003516025.1 phage gp6-like head-tail connector protein [Hungateiclostridium thermocellum];101;Uncharacterized phage protein;99.02% [101/102];;;Uniprot (K8EDN3)|Interpro (K8EDN3);;Interpro (IPR021146)|Pfam (PF05135);EMBL (CAOS01000001);
582;WP_003517715.1 hypothetical protein [Hungateiclostridium thermocellum];346;Copper amine oxidase-like domain-containing protein;96.92% [346/357];;;Uniprot (A3DFM3)|Interpro (A3DFM3);KEGG (cth:Cthe_1524)|KEGG GM (cth:Cthe_1524);Interpro (IPR012854)|Pfam (PF07833);NCBI (125714260)|EMBL (CP000568);
583;ADU73453.1 hypothetical protein Clo1313_0363 [Hungateiclostridium thermocellum DSM 1313];Blast running;;;;;;;;;
584;WP_003512490.1 hypothetical protein [Hungateiclostridium thermocellum];64;Uncharacterized protein;100.00% [64/64];GO:0016021 - integral component of membrane;;Uniprot (G2JC64)|Interpro (G2JC64);KEGG (cth:Cthe_3307)|KEGG GM (cth:Cthe_3307);;NCBI (489608049)|EMBL (CP000568);
585;WP_003513296.1 S-layer homology domain-containing protein [Hungateiclostridium thermocellum];189;S-layer domain-containing protein;100.00% [189/189];;;Uniprot (A3DI07)|Interpro (A3DI07);KEGG (cth:Cthe_2384)|KEGG GM (cth:Cthe_2384);Interpro (IPR001119)|Pfam (PF00395);NCBI (489608855)|EMBL (CP000568);
586;WP_003512492.1 hypothetical protein [Hungateiclostridium thermocellum];148;Uncharacterized protein;100.00% [148/148];;;Uniprot (A3DC62)|Interpro (A3DC62);KEGG (cth:Cthe_0303)|KEGG GM (cth:Cthe_0303);;NCBI (489608051)|EMBL (CP000568);
587;WP_003513368.1 hypothetical protein [Hungateiclostridium thermocellum];389;Uncharacterized protein;99.74% [389/390];;;Uniprot (A3DHY0)|Interpro (A3DHY0);KEGG (cth:Cthe_2357)|KEGG GM (cth:Cthe_2357);;NCBI (521293509)|EMBL (CP000568);
588;WP_003512989.1 DUF2752 domain-containing protein [Hungateiclostridium thermocellum];155;Uncharacterized protein;100.00% [155/155];GO:0016021 - integral component of membrane;;Uniprot (A3DIL3)|Interpro (A3DIL3);KEGG (cth:Cthe_2592)|KEGG GM (cth:Cthe_2592);Interpro (IPR021215)|Pfam (PF10825);NCBI (489608548)|EMBL (CP000568);
589;WP_003517839.1 type II toxin-antitoxin system RelE/ParE family toxin [Hungateiclostridium thermocellum];115;Uncharacterized protein;100.00% [115/115];;;Uniprot (A3DFG3)|Interpro (A3DFG3);KEGG (cth:Cthe_1463)|KEGG GM (cth:Cthe_1463);Interpro (IPR009241)|Pfam (PF05973);NCBI (489613398)|EMBL (CP000568);
590;ADU73917.1 hypothetical protein Clo1313_0848 [Hungateiclostridium thermocellum DSM 1313];109;Uncharacterized protein;93.97% [109/116];;;Uniprot (A3DFA3)|Interpro (A3DFA3);KEGG (cth:Cthe_1401)|KEGG GM (cth:Cthe_1401);Interpro (IPR011322);NCBI (489613839)|EMBL (CP000568);
591;WP_003516635.1 hypothetical protein [Hungateiclostridium thermocellum];129;Uncharacterized protein;79.63% [129/162];GO:0016021 - integral component of membrane;;Uniprot (A3DD65)|Interpro (A3DD65);KEGG (cth:Cthe_0659)|KEGG GM (cth:Cthe_0659);;NCBI (125713402)|EMBL (CP000568);
592;WP_003517807.1 membrane protein [Hungateiclostridium thermocellum];765;X-X-X-Leu-X-X-Gly heptad repeat-containing protein;99.35% [765/770];;;Uniprot (A3DFI1)|Interpro (A3DFI1);KEGG (cth:Cthe_1481)|KEGG GM (cth:Cthe_1481);Interpro (IPR023908);NCBI (500163424)|EMBL (CP000568);
593;WP_003516027.1 MULTISPECIES: HK97 gp10 family phage protein [Clostridia];143;Uncharacterized protein;100.00% [143/143];;;Uniprot (A0A2K9E581)|Interpro (A0A2K9E581);KEGG (hsc:HVS_13410)|KEGG GM (hsc:HVS_13410);Interpro (IPR010064)|Pfam (PF04883);NCBI (1315083098)|EMBL (CP025197);
594;WP_003514077.1 hypothetical protein [Hungateiclostridium thermocellum];104;Uncharacterized protein;100.00% [104/104];GO:0016021 - integral component of membrane;;Uniprot (A3DH15)|Interpro (A3DH15);KEGG (cth:Cthe_2033)|KEGG GM (cth:Cthe_2033);;NCBI (489609636)|EMBL (CP000568);
595;WP_003517316.1 extracellular solute-binding protein [Hungateiclostridium thermocellum];368;Extracellular solute-binding protein family 1;100.00% [368/368];;Transport of Iron|Encapsulating protein for DyP-type peroxidase and ferritin-like protein oligomers|Iron acquisition in Streptococcus|Campylobacter Iron Metabolism;Uniprot (A3DFT5)|Interpro (A3DFT5);KEGG (cth:Cthe_1588)|KEGG GM (cth:Cthe_1588);Interpro (IPR026045);NCBI (489612875)|EMBL (CP000568);
596;WP_003516935.1 hypothetical protein [Hungateiclostridium thermocellum];89;Uncharacterized protein;89.90% [89/99];;;Uniprot (A3DJQ5)|Interpro (A3DJQ5);KEGG (cth:Cthe_2988)|KEGG GM (cth:Cthe_2988);;NCBI (125715692)|EMBL (CP000568);
597;WP_003512569.1 DUF1848 domain-containing protein [Hungateiclostridium thermocellum];278;Uncharacterized protein;100.00% [278/278];;;Uniprot (A3DC88)|Interpro (A3DC88);KEGG (cth:Cthe_0329)|KEGG GM (cth:Cthe_0329);Interpro (IPR014998)|Interpro (IPR036305)|Pfam (PF08902);NCBI (489608128)|EMBL (CP000568);
598;WP_003511556.1 hypothetical protein [Hungateiclostridium thermocellum];67;Uncharacterized protein;100.00% [67/67];GO:0016021 - integral component of membrane;;Uniprot (A3DJZ9)|Interpro (A3DJZ9);KEGG (cth:Cthe_3082)|KEGG GM (cth:Cthe_3082);;NCBI (125715786)|EMBL (CP000568);
599;ADU74999.1 hypothetical protein Clo1313_1952 [Hungateiclostridium thermocellum DSM 1313];37;Uncharacterized protein;100.00% [37/37];GO:0016021 - integral component of membrane;;Uniprot (G2JC62)|Interpro (G2JC62);KEGG (cth:Cthe_3305)|KEGG GM (cth:Cthe_3305);;NCBI (345548275)|EMBL (CP000568);
600;WP_003513758.1 hypothetical protein [Hungateiclostridium thermocellum];197;Uncharacterized protein;100.00% [197/197];;;Uniprot (A3DGH6)|Interpro (A3DGH6);KEGG (cth:Cthe_1834)|KEGG GM (cth:Cthe_1834);;NCBI (489609317)|EMBL (CP000568);
601;WP_003516608.1 YcxB family protein [Hungateiclostridium thermocellum];110;YcxB domain-containing protein;49.11% [110/224];GO:0016021 - integral component of membrane;;Uniprot (A0A1E3BYU4)|Interpro (A0A1E3BYU4);;Interpro (IPR025588)|Pfam (PF14317);NCBI (1061400582)|EMBL (LXSB01000001);
602;WP_003511538.1 DUF1540 domain-containing protein [Hungateiclostridium thermocellum];58;DUF1540 domain-containing protein;100.00% [58/58];;;Uniprot (A3DJY8)|Interpro (A3DJY8);KEGG (cth:Cthe_3071)|KEGG GM (cth:Cthe_3071);Interpro (IPR011437)|Pfam (PF07561);NCBI (489607097)|EMBL (CP000568);
603;WP_095522196.1 hypothetical protein [Ruminiclostridium thermocellum];510;Uncharacterized protein;73.59% [510/693];;;Uniprot (A0A4Q0I0W4)|Interpro (A0A4Q0I0W4);;;EMBL (RLII01000042);
604;WP_003517551.1 hypothetical protein [Hungateiclostridium thermocellum];104;Uncharacterized protein;100.00% [104/104];;;Uniprot (A3DF02)|Interpro (A3DF02);KEGG (cth:Cthe_1299)|KEGG GM (cth:Cthe_1299);;NCBI (489613110)|EMBL (CP000568);
605;WP_004463481.1 hypothetical protein [Hungateiclostridium thermocellum];97;Uncharacterized protein;98.98% [97/98];GO:0016021 - integral component of membrane;;Uniprot (A3DE70)|Interpro (A3DE70);KEGG (cth:Cthe_1017)|KEGG GM (cth:Cthe_1017);;NCBI (125713757)|EMBL (CP000568);
606;WP_003519166.1 RMD1 family protein [Hungateiclostridium thermocellum];269;DUF155 domain-containing protein;100.00% [269/269];;;Uniprot (A3DEM8)|Interpro (A3DEM8);KEGG (cth:Cthe_1175)|KEGG GM (cth:Cthe_1175);Interpro (IPR003734)|Pfam (PF02582);NCBI (489614725)|EMBL (CP000568);
607;WP_003513833.1 hypothetical protein [Hungateiclostridium thermocellum];94;Uncharacterized protein;72.87% [94/129];GO:0016021 - integral component of membrane;;Uniprot (A3DGN3)|Interpro (A3DGN3);KEGG (cth:Cthe_1891)|KEGG GM (cth:Cthe_1891);;NCBI (125714620)|EMBL (CP000568);
608;WP_003516937.1 hypothetical protein [Hungateiclostridium thermocellum];117;Uncharacterized protein;100.00% [117/117];;;Uniprot (A3DJQ4)|Interpro (A3DJQ4);KEGG (cth:Cthe_2987)|KEGG GM (cth:Cthe_2987);;NCBI (125715691)|EMBL (CP000568);
609;ADU73532.1 hypothetical protein Clo1313_0443 [Hungateiclostridium thermocellum DSM 1313];52;Uncharacterized protein;100.00% [52/52];;;Uniprot (G2JCE3)|Interpro (G2JCE3);KEGG (cth:Cthe_3419)|KEGG GM (cth:Cthe_3419);;NCBI (345548375)|EMBL (CP000568);
610;WP_003521380.1 hypothetical protein [Hungateiclostridium thermocellum];Blast running;;;;;;;;;
611;ADU74637.1 hypothetical protein Clo1313_1576 [Hungateiclostridium thermocellum DSM 1313];96;Uncharacterized protein;98.97% [96/97];;;Uniprot (A3DD56)|Interpro (A3DD56);KEGG (cth:Cthe_0650)|KEGG GM (cth:Cthe_0650);Interpro (IPR027417);NCBI (489612161)|EMBL (CP000568);
612;WP_003521440.1 hypothetical protein [Hungateiclostridium thermocellum];172;Uncharacterized protein;90.05% [172/191];;;Uniprot (A3DGH6)|Interpro (A3DGH6);KEGG (cth:Cthe_1834)|KEGG GM (cth:Cthe_1834);;NCBI (489609317)|EMBL (CP000568);
613;WP_003512664.1 hypothetical protein [Hungateiclostridium thermocellum];202;Uncharacterized protein;100.00% [202/202];;;Uniprot (A3DCD7)|Interpro (A3DCD7);KEGG (cth:Cthe_0378)|KEGG GM (cth:Cthe_0378);;NCBI (489608223)|EMBL (CP000568);
614;WP_003513019.1 hypothetical protein [Hungateiclostridium thermocellum];224;Uncharacterized protein;100.00% [224/224];;;Uniprot (A3DIJ0)|Interpro (A3DIJ0);KEGG (cth:Cthe_2568)|KEGG GM (cth:Cthe_2568)|KEGG EC (3.5.1.130);;NCBI (489608578)|EMBL (CP000568);
615;WP_003516018.1 DUF5049 domain-containing protein [Hungateiclostridium thermocellum];62;DUF5049 domain-containing protein;96.88% [62/64];;;Uniprot (A0A2G1CQX5)|Interpro (A0A2G1CQX5);;Interpro (IPR032488)|Pfam (PF16468);EMBL (MINB01000002);
616;WP_003511902.1 hypothetical protein [Hungateiclostridium thermocellum];177;Uncharacterized protein;100.00% [177/177];GO:0016021 - integral component of membrane;;Uniprot (A3DBC0)|Interpro (A3DBC0);KEGG (cth:Cthe_0007)|KEGG GM (cth:Cthe_0007);;NCBI (489607461)|EMBL (CP000568);
617;WP_003518732.1 hypothetical protein [Hungateiclostridium thermocellum];660;Uncharacterized protein;98.51% [660/670];GO:0016021 - integral component of membrane;;Uniprot (A3DDM6)|Interpro (A3DDM6);KEGG (cth:Cthe_0820)|KEGG GM (cth:Cthe_0820);;NCBI (500163242)|EMBL (CP000568);
618;ADU73149.1 primosome DnaD subunit [Hungateiclostridium thermocellum DSM 1313];304;Primosome DnaD subunit;98.70% [304/308];;;Uniprot (A3DI42)|Interpro (A3DI42);KEGG (cth:Cthe_2419)|KEGG GM (cth:Cthe_2419);Interpro (IPR017019)|Interpro (IPR034829)|Interpro (IPR006343)|Interpro (IPR036388)|Pfam (PF07261);NCBI (521293525)|EMBL (CP000568);
619;WP_003512057.1 adaptor protein MecA [Hungateiclostridium thermocellum];210;Negative regulator of genetic competence;100.00% [210/210];;;Uniprot (A3DBJ7)|Interpro (A3DBJ7);KEGG (cth:Cthe_0085)|KEGG GM (cth:Cthe_0085);Interpro (IPR038471)|Interpro (IPR008681)|Pfam (PF05389);NCBI (489607616)|EMBL (CP000568);
620;WP_003519284.1 hypothetical protein [Hungateiclostridium thermocellum];491;Uncharacterized protein;100.00% [491/491];GO:0016021 - integral component of membrane;;Uniprot (A3DC55)|Interpro (A3DC55);KEGG (cth:Cthe_0296)|KEGG GM (cth:Cthe_0296);;NCBI (489614843)|EMBL (CP000568);
621;WP_003512059.1 hypothetical protein [Hungateiclostridium thermocellum];294;Uncharacterized protein;100.00% [294/294];;;Uniprot (A3DBJ8)|Interpro (A3DBJ8);KEGG (cth:Cthe_0086)|KEGG GM (cth:Cthe_0086);;NCBI (489607618)|EMBL (CP000568);
622;WP_003519419.1 copper amine oxidase [Hungateiclostridium thermocellum];248;Copper amine oxidase-like domain-containing protein;100.00% [248/248];;;Uniprot (A3DJN4)|Interpro (A3DJN4);KEGG (cth:Cthe_2966)|KEGG GM (cth:Cthe_2966);Interpro (IPR012854)|Pfam (PF07833);NCBI (489614978)|EMBL (CP000568);
623;WP_003517464.1 hypothetical protein [Hungateiclostridium thermocellum];97;Uncharacterized protein;100.00% [97/97];GO:0016021 - integral component of membrane;;Uniprot (A3DEV7)|Interpro (A3DEV7);KEGG (cth:Cthe_1254)|KEGG GM (cth:Cthe_1254);Interpro (IPR024307)|Pfam (PF12788);NCBI (125713994)|EMBL (CP000568);
624;WP_003519228.1 membrane protein [Hungateiclostridium thermocellum];549;Uncharacterized protein;99.64% [549/551];;;Uniprot (A3DFF3)|Interpro (A3DFF3);KEGG (cth:Cthe_1452)|KEGG GM (cth:Cthe_1452);Interpro (IPR032774)|Pfam (PF14903);NCBI (500163411)|EMBL (CP000568);
625;WP_003514987.1 DUF1910 domain-containing protein [Hungateiclostridium thermocellum];390;Uncharacterized protein;94.66% [390/412];;;Uniprot (A3DJC5)|Interpro (A3DJC5);KEGG (cth:Cthe_2855)|KEGG GM (cth:Cthe_2855);Interpro (IPR015024)|Interpro (IPR015025)|Interpro (IPR028983)|Pfam (PF08928)|Pfam (PF08929);NCBI (521293677)|EMBL (CP000568);
626;WP_003516443.1 DUF3794 domain-containing protein [Hungateiclostridium thermocellum];522;Peptidoglycan-binding lysin domain-containing protein;100.00% [522/522];;;Uniprot (A3DI25)|Interpro (A3DI25);KEGG (cth:Cthe_2402)|KEGG GM (cth:Cthe_2402);Interpro (IPR024300)|Interpro (IPR018392)|Interpro (IPR036779)|Pfam (PF12673)|Pfam (PF01476);NCBI (489612002)|EMBL (CP000568);
627;WP_003513015.1 hypothetical protein [Hungateiclostridium thermocellum];794;Uncharacterized protein;99.75% [794/796];GO:0016021 - integral component of membrane;;Uniprot (A3DIJ2)|Interpro (A3DIJ2);KEGG (cth:Cthe_2570)|KEGG GM (cth:Cthe_2570);;NCBI (521293599)|EMBL (CP000568);
628;ADU75813.1 hypothetical protein Clo1313_2833 [Hungateiclostridium thermocellum DSM 1313];30;Uncharacterized protein;100.00% [30/30];;;Uniprot (G2JCC0)|Interpro (G2JCC0);KEGG (cth:Cthe_3385)|KEGG GM (cth:Cthe_3385);;NCBI (345548350)|EMBL (CP000568);
629;WP_003517539.1 HD domain-containing protein [Hungateiclostridium thermocellum];335;Metal dependent phosphohydrolase;100.00% [335/335];GO:0016787 - hydrolase activity;;Uniprot (A3DEZ6)|Interpro (A3DEZ6);KEGG (cth:Cthe_1293)|KEGG GM (cth:Cthe_1293);Interpro (IPR003607)|Interpro (IPR006674)|Pfam (PF01966);NCBI (489613098)|EMBL (CP000568);
630;WP_003519623.1 hypothetical protein [Hungateiclostridium thermocellum];74;YD repeat-containing protein;96.10% [74/77];;;Uniprot (A3DBB7)|Interpro (A3DBB7);KEGG (cth:Cthe_0004)|KEGG GM (cth:Cthe_0004);Interpro (IPR036689)|Interpro (IPR011047)|Interpro (IPR022385)|Interpro (IPR031325)|Interpro (IPR006530)|Pfam (PF05593);NCBI (125712754)|EMBL (CP000568);
631;WP_003515787.1 hypothetical protein [Hungateiclostridium thermocellum];151;Uncharacterized protein;79.47% [151/190];;;Uniprot (A0A4Q0I0I3)|Interpro (A0A4Q0I0I3);;;EMBL (RLII01000055);
632;WP_003518734.1 hypothetical protein [Hungateiclostridium thermocellum];83;Uncharacterized protein;62.88% [83/132];;;Uniprot (A0A2S8RAT5)|Interpro (A0A2S8RAT5);;;EMBL (NEMB01000003);
633;WP_003518977.1 flagellar protein FlaG [Hungateiclostridium thermocellum];128;Flagellar protein FlaG protein;97.71% [128/131];;Flagellar motility;Uniprot (A3DHJ2)|Interpro (A3DHJ2);KEGG (cth:Cthe_2219)|KEGG GM (cth:Cthe_2219);Interpro (IPR005186)|Interpro (IPR035924)|Pfam (PF03646);NCBI (489609176)|EMBL (CP000568);
634;WP_003514217.1 YaaR family protein [Hungateiclostridium thermocellum];150;Uncharacterized protein;100.00% [150/150];;;Uniprot (A3DH84)|Interpro (A3DH84);KEGG (cth:Cthe_2106)|KEGG GM (cth:Cthe_2106);Interpro (IPR005585)|Interpro (IPR024042)|Pfam (PF03885);NCBI (489609776)|EMBL (CP000568);
635;WP_003511601.1 DUF2304 domain-containing protein [Hungateiclostridium thermocellum];116;Uncharacterized protein;100.00% [116/116];GO:0016021 - integral component of membrane;;Uniprot (A3DK14)|Interpro (A3DK14);KEGG (cth:Cthe_3098)|KEGG GM (cth:Cthe_3098);Interpro (IPR019277)|Pfam (PF10066);NCBI (489607160)|EMBL (CP000568);
636;WP_003512484.1 SafA/ExsA family spore coat assembly protein [Hungateiclostridium thermocellum];198;Spore coat assembly protein SafA;96.59% [198/205];;;Uniprot (A3DC59)|Interpro (A3DC59);KEGG (cth:Cthe_0300)|KEGG GM (cth:Cthe_0300);Interpro (IPR014044)|Interpro (IPR014258)|Interpro (IPR035940)|Interpro (IPR018392)|Interpro (IPR036779)|Interpro (IPR014248)|Pfam (PF00188)|Pfam (PF01476);NCBI (500163128)|EMBL (CP000568);
637;WP_003517137.1 hypothetical protein [Hungateiclostridium thermocellum];136;Uncharacterized protein;100.00% [136/136];;;Uniprot (A3DDQ2)|Interpro (A3DDQ2);KEGG (cth:Cthe_0846)|KEGG GM (cth:Cthe_0846);;NCBI (489612696)|EMBL (CP000568);
638;WP_003521386.1 hypothetical protein [Hungateiclostridium thermocellum];130;Uncharacterized protein;39.63% [130/328];GO:0003676 - nucleic acid binding|GO:0004518 - nuclease activity;;Uniprot (A0A285BCB5)|Interpro (A0A285BCB5);;Interpro (IPR011335)|Interpro (IPR011856);EMBL (LT906662);
639;WP_003520688.1 hypothetical protein [Hungateiclostridium thermocellum];71;Uncharacterized protein;98.61% [71/72];;;Uniprot (A0A2K9EPR1)|Interpro (A0A2K9EPR1);KEGG (hsc:HVS_13730)|KEGG GM (hsc:HVS_13730);;NCBI (1315083160)|EMBL (NEMB01000003);
640;ADU75651.1 hypothetical protein Clo1313_2653 [Hungateiclostridium thermocellum DSM 1313];43;Uncharacterized protein;95.56% [43/45];;;Uniprot (A0A2K9E8R3)|Interpro (A0A2K9E8R3);KEGG (hsc:HVS_02085)|KEGG GM (hsc:HVS_02085);;NCBI (1315080923)|EMBL (CP025197);
641;ADU74532.1 hypothetical protein Clo1313_1470 [Hungateiclostridium thermocellum DSM 1313];73;Uncharacterized protein;98.65% [73/74];;;Uniprot (A3DDF8)|Interpro (A3DDF8);KEGG (cth:Cthe_0752)|KEGG GM (cth:Cthe_0752);;NCBI (490598321)|EMBL (CP000568);
642;ADU74294.1 hypothetical protein Clo1313_1230 [Hungateiclostridium thermocellum DSM 1313];55;Uncharacterized protein;100.00% [55/55];GO:0016021 - integral component of membrane;;Uniprot (G2JC81)|Interpro (G2JC81);KEGG (cth:Cthe_3334)|KEGG GM (cth:Cthe_3334);;NCBI (345548297)|EMBL (CP000568);
643;WP_003517116.1 hypothetical protein [Hungateiclostridium thermocellum];188;Uncharacterized protein;100.00% [188/188];GO:0016021 - integral component of membrane;;Uniprot (A3DF68)|Interpro (A3DF68);KEGG (cth:Cthe_1365)|KEGG GM (cth:Cthe_1365);;NCBI (489612675)|EMBL (CP000568);
644;WP_003516812.1 hypothetical protein [Hungateiclostridium thermocellum];Blast running;;;;;;;;;
645;WP_003516991.1 cyclic lactone autoinducer peptide [Hungateiclostridium thermocellum];54;Uncharacterized protein;100.00% [54/54];;;Uniprot (G2JC95)|Interpro (G2JC95);KEGG (cth:Cthe_3348)|KEGG GM (cth:Cthe_3348);Interpro (IPR009229);NCBI (345548311)|EMBL (CP000568);
646;WP_003520674.1 hypothetical protein [Hungateiclostridium thermocellum];829;Prophage_tail domain-containing protein;98.69% [829/840];;;Uniprot (A0A0K8J6T4)|Interpro (A0A0K8J6T4);KEGG (hsd:SD1D_1532)|KEGG GM (hsd:SD1D_1532);Interpro (IPR013320)|Interpro (IPR007119)|Interpro (IPR010572)|Pfam (PF06605);NCBI (960365448)|EMBL (LN879430);
647;ADU74156.1 hypothetical protein Clo1313_1092 [Hungateiclostridium thermocellum DSM 1313];33;Uncharacterized protein;100.00% [33/33];GO:0016021 - integral component of membrane;;Uniprot (G2JC91)|Interpro (G2JC91);KEGG (cth:Cthe_3344)|KEGG GM (cth:Cthe_3344);;NCBI (345548307)|EMBL (CP000568);
648;WP_003515320.1 zinc ribbon domain-containing protein [Hungateiclostridium thermocellum];Blast running;;;;;;;;;
649;WP_003516159.1 hypothetical protein [Hungateiclostridium thermocellum];1153;VWA domain-containing protein;100.00% [1153/1153];;;Uniprot (A0A2S8REL2)|Interpro (A0A2S8REL2);;Interpro (IPR002477)|Interpro (IPR036365)|Interpro (IPR036366)|Interpro (IPR002035)|Interpro (IPR036465)|Pfam (PF01471)|Pfam (PF00092);EMBL (NEMB01000003);
650;WP_011837926.1 six-cysteine peptide SCIFF [Hungateiclostridium thermocellum];46;Uncharacterized protein;100.00% [46/46];GO:0046872 - metal ion binding|GO:0051539 - 4 iron 4 sulfur cluster binding;;Uniprot (A3DDW2)|Interpro (A3DDW2);KEGG (cth:Cthe_0907)|KEGG GM (cth:Cthe_0907);Interpro (IPR023975)|Pfam (PF13165);NCBI (500163256)|EMBL (CP000568);
651;WP_037294505.1 hypothetical protein [Ruminiclostridium thermocellum];Blast running;;;;;;;;;
652;WP_003514026.1 hypothetical protein [Hungateiclostridium thermocellum];92;Uncharacterized protein;100.00% [92/92];;;Uniprot (A3DGX7)|Interpro (A3DGX7);KEGG (cth:Cthe_2022)|KEGG GM (cth:Cthe_2022);;NCBI (489609585)|EMBL (CP000568);
653;WP_003516093.1 CRISPR-associated protein [Hungateiclostridium thermocellum];195;CRISPR-associated protein Csh1 family;78.31% [195/249];;CRISPRs;Uniprot (A3DKB7)|Interpro (A3DKB7);KEGG (cth:Cthe_3201)|KEGG GM (cth:Cthe_3201);Interpro (IPR013389)|Interpro (IPR013420)|Pfam (PF09484);NCBI (521293786)|EMBL (CP000568);
