ProeinID	KO_terms	KEGG_Term	Score	Second best	
WP_003516132.1	K00975	glgC; glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]	201		
WP_003516134.1	K00975	glgC; glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]	267		
WP_003516137.1			21	K01176	1
WP_003516139.1			143		
WP_003516142.1			109		
WP_003516143.1	K05942	E2.3.3.3; citrate (Re)-synthase [EC:2.3.3.3]	464		
WP_003516144.1			117		
WP_003516145.1			52	K16923	3
WP_003516148.1	K01270	pepD; dipeptidase D [EC:3.4.13.-]	269		
WP_003516150.1	K06147	"ABCB-BAC; ATP-binding cassette, subfamily B, bacterial"	370		
WP_003516151.1					
WP_003516153.1			109	K06882	3
WP_003516155.1			20	K16256	1
WP_003516156.1			188		
WP_003516157.1			152		
WP_003516159.1			113		
WP_003516160.1			53		
WP_003516161.1	K01809	manA; mannose-6-phosphate isomerase [EC:5.3.1.8]	130		
WP_003516162.1			103		
WP_003516163.1	K01867	WARS; tryptophanyl-tRNA synthetase [EC:6.1.1.2]	233		
WP_003516164.1	K05896	scpA; segregation and condensation protein A	106		
WP_003516166.1			15	K07126	1
WP_003516171.1			85		
WP_003516173.1	K06178	rluB; 23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]	139	K06183	13
WP_003516175.1	K00797	speE; spermidine synthase [EC:2.5.1.16]	200		
WP_003516177.1	K01480	speB; agmatinase [EC:3.5.3.11]	190		
WP_003516178.1			89		
WP_003516184.1			546		
WP_003516186.1			16	K03185	1
WP_003516188.1			59		
WP_003516190.1	K01571	"oadA; oxaloacetate decarboxylase, alpha subunit [EC:4.1.1.3]"	357		
WP_003516192.1			41	K02035	1
WP_003516194.1			8	K13582	1
WP_003516196.1			105		
WP_003516198.1			20	K06603	1
WP_003516200.1			182		
WP_003516203.1	K22305	psp; phosphoserine phosphatase [EC:3.1.3.3]	21		
WP_003516205.1	K07007	uncharacterized protein	256		
WP_003516207.1			21	K02356	1
WP_003516211.1	K06208	aroH; chorismate mutase [EC:5.4.99.5]	83		
WP_003516214.1	K00945	cmk; CMP/dCMP kinase [EC:2.7.4.25]	122		
WP_003516217.1	K00655	plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	107		
WP_003516223.1	K01611	speD; S-adenosylmethionine decarboxylase [EC:4.1.1.50]	149		
WP_003516225.1	K00940	ndk; nucleoside-diphosphate kinase [EC:2.7.4.6]	107		
WP_003516227.1	K00575	cheR; chemotaxis protein methyltransferase CheR [EC:2.1.1.80]	167		
WP_003516231.1			15	K16840	1
WP_003516233.1			85		
WP_003516235.1	K04487	iscS; cysteine desulfurase [EC:2.8.1.7]	300		
WP_003516238.1	K04488	iscU; nitrogen fixation protein NifU and related proteins	92		
WP_003516239.1	K00566	mnmA; tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]	257		
WP_003516241.1	K01866	YARS; tyrosyl-tRNA synthetase [EC:6.1.1.1]	304		
WP_003516243.1	K04486	E3.1.3.15B; histidinol-phosphatase (PHP family) [EC:3.1.3.15]	142		
WP_003516246.1			198		
WP_003516249.1			352		
WP_003516250.1			66		
WP_003516251.1			200		
WP_003516254.1			107		
WP_003516256.1			153		
WP_003516257.1	K00891	E2.7.1.71; shikimate kinase [EC:2.7.1.71]	71		
WP_003516259.1	K01736	aroC; chorismate synthase [EC:4.2.3.5]	240		
WP_003516260.1			31	K02676	1
WP_003516261.1			135		
WP_003516262.1			26	K00368	1
WP_003516263.1			124	K12751	
WP_003516264.1	K06133	LYS5; 4'-phosphopantetheinyl transferase [EC:2.7.8.-]	78		
WP_003516266.1	K07213	ATOX1; copper chaperone	16		
WP_003516269.1			149	K17713	1
WP_003516271.1	K03710	GntR family transcriptional regulator	69	K10711	3
WP_003516273.1	K01756	purB; adenylosuccinate lyase [EC:4.3.2.2]	359		
WP_003516275.1			15	K07788	1
WP_003516276.1			247		
WP_003516277.1			102	K03797	1
WP_003516278.1	K01179	E3.2.1.4; endoglucanase [EC:3.2.1.4]	247		
WP_003516279.1			7	K04771	1
WP_003516280.1	K11069	potD; spermidine/putrescine transport system substrate-binding protein	190		
WP_003516281.1	K11070	potC; spermidine/putrescine transport system permease protein	138	K11069/K11070	6
WP_003516282.1	K11071	potB; spermidine/putrescine transport system permease protein	202		
WP_003516284.1	K11072	potA; spermidine/putrescine transport system ATP-binding protein [EC:3.6.3.31]	233		
WP_003516286.1			123		
WP_003516290.1			20	K12410	1
WP_003516293.1			20	K11997	1
WP_003516296.1	K00812	aspB; aspartate aminotransferase [EC:2.6.1.1]	280		
WP_003516298.1	K01273	DPEP; membrane dipeptidase [EC:3.4.13.19]	201		
WP_003516299.1	K03630	radC; DNA repair protein RadC	129		
WP_003516301.1	K07460	yraN; putative endonuclease	40		
WP_003516302.1	K04061	flhB2; flagellar biosynthesis protein	38		
WP_003516304.1			53		
WP_003516306.1	K03470	rnhB; ribonuclease HII [EC:3.1.26.4]	151		
WP_003516308.1			110		
WP_003516310.1	K14540	rbgA; ribosome biogenesis GTPase A	172		
WP_003516311.1	K03100	lepB; signal peptidase I [EC:3.4.21.89]	56		
WP_003516312.1	K02884	RP-L19; large subunit ribosomal protein L19	104		
WP_003516314.1	K02860	rimM; 16S rRNA processing protein RimM	76		
WP_003516315.1	K06960	uncharacterized protein	54		
WP_003516317.1	K02959	RP-S16; small subunit ribosomal protein S16	61		
WP_003516319.1	K03106	SRP54; signal recognition particle subunit SRP54 [EC:3.6.5.4]	330		
WP_003516320.1	K09787	uncharacterized protein	34		
WP_003516322.1			20		
WP_003516324.1	K01356	lexA; repressor LexA [EC:3.4.21.88]	131		
WP_003516328.1	K00791	miaA; tRNA dimethylallyltransferase [EC:2.5.1.75]	181		
WP_003516337.1	K03572	mutL; DNA mismatch repair protein MutL	175		
WP_003516351.1	K03555	mutS; DNA mismatch repair protein MutS	545		
WP_003516352.1			19	K03414	1
WP_003516353.1			121		
WP_003516354.1			120		
WP_003516355.1			12	K03830	5
WP_003516356.1	K03406	mcp; methyl-accepting chemotaxis protein	40		
WP_003516357.1	K01989	ABC.X4.S; putative ABC transport system substrate-binding protein	14		
WP_003516358.1	K06168	miaB; tRNA-2-methylthio-N6-dimethylallyladenosine synthase [EC:2.8.4.3]	312		
WP_003516360.1			4	K00762	2
WP_003516362.1			23	K09715	1
WP_003516363.1	K01735	aroB; 3-dehydroquinate synthase [EC:4.2.3.4]	174	K13829	11
WP_003516364.1	K01870	IARS; isoleucyl-tRNA synthetase [EC:6.1.1.5]	663		
WP_003516367.1	K04074	divIVA; cell division initiation protein	60		
WP_003516370.1			106		
WP_003516372.1	K02221	yggT; YggT family protein	26		
WP_003516374.1	K09772	sepF; cell division inhibitor SepF	36		
WP_003516377.1	K06997	yggS; PLP dependent protein	154		
WP_003516379.1			30	K12009	1
WP_003516386.1			281		
WP_003516388.1	K01208	cd; cyclomaltodextrinase / maltogenic alpha-amylase / neopullulanase [EC:3.2.1.54 3.2.1.133 3.2.1.135]	250		
WP_003516390.1	K01179	E3.2.1.4; endoglucanase [EC:3.2.1.4]	121		
WP_003516403.1	K02529	lacI; LacI family transcriptional regulator	45		
WP_003516406.1			555		
WP_003516409.1	K10441	rbsA; ribose transport system ATP-binding protein [EC:3.6.3.17]	124	K17215	35
WP_003516411.1	K10439	rbsB; ribose transport system substrate-binding protein	61		
WP_003516413.1	K00864	glpK; glycerol kinase [EC:2.7.1.30]	259		
WP_003516416.1	K03613	rnfE; electron transport complex protein RnfE	145		
WP_003516418.1	K02557	motB; chemotaxis protein MotB	103		
WP_003516419.1			16	K01448	1
WP_003516421.1			138	K19668	1
WP_003516423.1	K06885	uncharacterized protein	117		
WP_003516429.1	K07052	uncharacterized protein	16	K09696	2
WP_003516435.1			24	K20742	14
WP_003516438.1	K09749	uncharacterized protein	69		
WP_003516440.1			199		
WP_003516443.1			183		
WP_003516448.1	K01938	fhs; formate--tetrahydrofolate ligase [EC:6.3.4.3]	410		
WP_003516452.1	K00169	porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]	293		
WP_003516455.1	K00171	porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]	52		
WP_003516457.1	K01308	yqgT; g-D-glutamyl-meso-diaminopimelate peptidase [EC:3.4.19.11]	226		
WP_003516459.1			135		
WP_003516462.1			11	K01448	1
WP_003516465.1	K02313	dnaA; chromosomal replication initiator protein	297		
WP_003516468.1	K06346	jag; spoIIIJ-associated protein	109		
WP_003516470.1	K03650	mnmE; tRNA modification GTPase [EC:3.6.-.-]	264		
WP_003516481.1			31		
WP_003516483.1			17	K01448	1
WP_003516485.1					
WP_003516489.1			52	K07179	1
WP_003516491.1	K03978	engB; GTP-binding protein	105		
WP_003516493.1	K03154	thiS; sulfur carrier protein	28	K03149	2
WP_003516495.1	K03149	thiG; thiazole synthase [EC:2.8.1.10]	196		
WP_003516497.1	K03150	thiH; 2-iminoacetate synthase [EC:4.1.99.19]	253		
WP_003516498.1	K03148	thiF; sulfur carrier protein ThiS adenylyltransferase [EC:2.7.7.73]	109		
WP_003516504.1	K03147	thiC; phosphomethylpyrimidine synthase [EC:4.1.99.17]	474		
WP_003516505.1			11	K00657	5
WP_003516507.1			21	K06958	1
WP_003516509.1			56	K01447	19
WP_003516511.1	K02238	comEC; competence protein ComEC	270		
WP_003516513.1			190		
WP_003516515.1			183		
WP_003516517.1			197		
WP_003516518.1	K00817	hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9]	290		
WP_003516520.1	K07576	metallo-beta-lactamase family protein	292		
WP_003516522.1	K03307	"TC.SSS; solute:Na+ symporter, SSS family"	63	K11928	38
WP_003516525.1	K00180	"iorB; indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]"	116		
WP_003516527.1	K01912	paaK; phenylacetate-CoA ligase [EC:6.2.1.30]	325		
WP_003516528.1			89		
WP_003516530.1	K07478	ycaJ; putative ATPase	282		
WP_003516532.1			9	K04759	1
WP_003516540.1			66		
WP_003516545.1	K08963	mtnA; methylthioribose-1-phosphate isomerase [EC:5.3.1.23]	277		
WP_003516547.1	K00772	mtaP; 5'-methylthioadenosine phosphorylase [EC:2.4.2.28]	188		
WP_003516549.1			66		
WP_003516552.1	K01179	E3.2.1.4; endoglucanase [EC:3.2.1.4]	25		
WP_003516556.1			8	K03609	2
WP_003516558.1			26	K02279	5
WP_003516560.1			9	K03609	3
WP_003516561.1	K02283	cpaF; pilus assembly protein CpaF	113		
WP_003516564.1			42	K01698	1
WP_003516566.1			20	K12511	3
WP_003516568.1			9	K02651	3
WP_003516570.1			4	K03006	1
WP_003516571.1			26	K17264	1
WP_003516573.1	K12132	prkC; eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]	19		
WP_003516575.1	K20074	prpC; PPM family protein phosphatase [EC:3.1.3.16]	43		
WP_003516577.1			9	K22254	1
WP_003516579.1			12	K03117	1
WP_003516581.1	K03466	"ftsK; DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family"	513		
WP_003516583.1			8	K00700	1
WP_003516585.1			126	K01224	1
WP_003516586.1			19	K13599	1
WP_003516587.1			14	K06439	1
WP_003516588.1			19		
WP_003516589.1			206		
WP_003516590.1			33	K00548	1
WP_003516591.1	K00548	metH; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]	455		
WP_003516592.1	K21636	nrdD; ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6]	496		
WP_003516593.1	K04069	pflA; pyruvate formate lyase activating enzyme [EC:1.97.1.4]	104		
WP_003516596.1	K01885	EARS; glutamyl-tRNA synthetase [EC:6.1.1.17]	309		
WP_003516598.1			16	K00859	1
WP_003516602.1			3	K00945	1
WP_003516606.1			4	K03455	1
WP_003516608.1			2	K01992	1
WP_003516611.1	K01821	praC; 4-oxalocrotonate tautomerase [EC:5.3.2.6]	32		
WP_003516613.1			64		
WP_003516617.1			228		
WP_003516619.1	K02662	pilM; type IV pilus assembly protein PilM	113		
WP_003516624.1			58	K01689	1
WP_003516626.1			26	K09981	1
WP_003516635.1			28	K15977	1
WP_003516636.1			265		
WP_003516637.1			203		
WP_003516638.1			1	K07133	1
WP_003516639.1			18	K01990	1
WP_003516640.1			13	K08304	1
WP_003516641.1	K04088	hflK; membrane protease subunit HflK [EC:3.4.-.-]	141		
WP_003516642.1	K04087	hflC; membrane protease subunit HflC [EC:3.4.-.-]	133		
WP_003516644.1	K06295	gerKA; spore germination protein KA	249		
WP_003516646.1			116	K06296	7
WP_003516648.1			110	K06297	72
WP_003516651.1			124	K06296	6
WP_003516654.1			52	K18035	
WP_003516657.1	K00286	proC; pyrroline-5-carboxylate reductase [EC:1.5.1.2]	150		
WP_003516659.1	K03469	rnhA; ribonuclease HI [EC:3.1.26.4]	94		
WP_003516661.1	K01515	nudF; ADP-ribose pyrophosphatase [EC:3.6.1.13]	115		
WP_003516665.1	K04763	xerD; integrase/recombinase XerD	203		
WP_003516667.1	K01839	deoB; phosphopentomutase [EC:5.4.2.7]	291		
WP_003516668.1	K00756	pdp; pyrimidine-nucleoside phosphorylase [EC:2.4.2.2]	220	K00758	44
WP_003516670.1	K07258	dacC; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]	179		
WP_003516676.1			48	K03688	1
WP_003516678.1	K01586	lysA; diaminopimelate decarboxylase [EC:4.1.1.20]	282		
WP_003516691.1			53	K19586	1
WP_003516692.1			33	K18579	3
WP_003516694.1			144		
WP_003516696.1			52	K01187	1
WP_003516698.1	K06926	uncharacterized protein	36		
WP_003516700.1	K02027	ABC.MS.S; multiple sugar transport system substrate-binding protein	13		
WP_003516702.1	K03924	moxR; MoxR-like ATPase [EC:3.6.3.-]	18		
WP_003516704.1	K02025	ABC.MS.P; multiple sugar transport system permease protein	158		
WP_003516707.1	K02026	ABC.MS.P1; multiple sugar transport system permease protein	104		
WP_003516709.1			8	K02004	7
WP_003516726.1			122		
WP_003516730.1			334		
WP_003516738.1	K01874	MARS; methionyl-tRNA synthetase [EC:6.1.1.10]	466		
WP_003516741.1			110		
WP_003516759.1	K08303	putative protease [EC:3.4.-.-]	357		
WP_003516761.1			35	K09796	1
WP_003516767.1			112		
WP_003516777.1	K03660	OGG1; N-glycosylase/DNA lyase [EC:3.2.2.- 4.2.99.18]	165		
WP_003516780.1	K00640	cysE; serine O-acetyltransferase [EC:2.3.1.30]	127		
WP_003516785.1			73		
WP_003516789.1			14	K07402	1
WP_003516812.1			1	K01568	
WP_003516815.1			2		
WP_003516816.1			2	K03386	1
WP_003516818.1					
WP_003516822.1			167		
WP_003516824.1	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein	198		
WP_003516826.1	K02004	ABC.CD.P; putative ABC transport system permease protein	265		
WP_003516828.1			121		
WP_003516833.1			7	K04410	1
WP_003516835.1			174	K01190	4
WP_003516837.1			131	K01190	4
WP_003516839.1			14	K01179	2
WP_003516841.1			62		
WP_003516850.1			216		
WP_003516852.1			14	K01728	11
WP_003516854.1			37	K01731	1
WP_003516856.1			1	K00826	1
WP_003516859.1			13	K00749	
WP_003516860.1			1	K00925	1
WP_003516862.1	K07052	uncharacterized protein	26		
WP_003516863.1	K02909	RP-L31; large subunit ribosomal protein L31	68		
WP_003516864.1			227		
WP_003516865.1			230		
WP_003516866.1			17	K20542	3
WP_003516867.1	K07315	rsbU_P; phosphoserine phosphatase RsbU/P [EC:3.1.3.3]	139		
WP_003516868.1			85		
WP_003516869.1			70	K03657	1
WP_003516870.1			166		
WP_003516871.1			32		
WP_003516872.1			20	K02887	1
WP_003516873.1			19	K01448	1
WP_003516875.1			107		
WP_003516876.1			130	K00728	2
WP_003516877.1			192		
WP_003516878.1			8	K01224	1
WP_003516879.1	K01179	E3.2.1.4; endoglucanase [EC:3.2.1.4]	169		
WP_003516880.1			15	K01448	1
WP_003516881.1			6	K11206	1
WP_003516895.1			30	K21397	1
WP_003516897.1					
WP_003516899.1			116		
WP_003516902.1	K03406	mcp; methyl-accepting chemotaxis protein	41		
WP_003516905.1			11	K01409	1
WP_003516907.1			1	K03088	1
WP_003516909.1	K01590	hdc; histidine decarboxylase [EC:4.1.1.22]	103		
WP_003516913.1	K04652	hypB; hydrogenase nickel incorporation protein HypB	120		
WP_003516915.1	K04656	hypF; hydrogenase maturation protein HypF	332		
WP_003516920.1			30		
WP_003516923.1	K00123	fdoG; formate dehydrogenase major subunit [EC:1.17.1.9]	36		
WP_003516928.1			20	K19535	1
WP_003516932.1			77	K10797	47
WP_003516935.1			12	K08853	
WP_003516937.1			23	K02469	1
WP_003516940.1			12	K14802	
WP_003516942.1	K03406	mcp; methyl-accepting chemotaxis protein	51		
WP_003516946.1			8	K10352	1
WP_003516952.1	K06206	sfsA; sugar fermentation stimulation protein A	86		
WP_003516971.1	K12574	rnj; ribonuclease J [EC:3.1.-.-]	422		
WP_003516973.1			216	K16150	21
WP_003516975.1	K07175	phoH2; PhoH-like ATPase	294		
WP_003516977.1			37		
WP_003516980.1			81	K00140	
WP_003516982.1			34	K01181	2
WP_003516984.1	K01006	"ppdK; pyruvate, orthophosphate dikinase [EC:2.7.9.1]"	688		
WP_003516986.1			118		
WP_003516988.1	K07813	agrB; accessory gene regulator B	31		
WP_003516991.1			13	K07800	6
WP_003516993.1	K07706	"agrC; two-component system, LytTR family, sensor histidine kinase AgrC [EC:2.7.13.3]"	11		
WP_003516995.1	K01880	GARS; glycyl-tRNA synthetase [EC:6.1.1.14]	381		
WP_003516997.1	K13038	coaBC; phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]	255		
WP_003517000.1	K03060	rpoZ; DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]	38		
WP_003517002.1	K00942	E2.7.4.8; guanylate kinase [EC:2.7.4.8]	108		
WP_003517004.1	K09777	uncharacterized protein	66		
WP_003517008.1			165		
WP_003517009.1			50		
WP_003517011.1	K03413	"cheY; two-component system, chemotaxis family, chemotaxis protein CheY"	58		
WP_003517014.1	K02687	prmA; ribosomal protein L11 methyltransferase [EC:2.1.1.-]	162		
WP_003517016.1	K03686	dnaJ; molecular chaperone DnaJ	235		
WP_003517018.1	K04043	dnaK; molecular chaperone DnaK	475		
WP_003517020.1	K03687	GRPE; molecular chaperone GrpE	59		
WP_003517022.1	K03705	hrcA; heat-inducible transcriptional repressor	172		
WP_003517023.1			201		
WP_003517026.1	K03596	lepA; GTP-binding protein LepA	476		
WP_003517027.1			16	K02538	1
WP_003517030.1	K06385	spoIIP; stage II sporulation protein P	147		
WP_003517032.1			23		
WP_003517033.1			1022		
WP_003517036.1	K03100	lepB; signal peptidase I [EC:3.4.21.89]	62		
WP_003517038.1	K01876	aspS; aspartyl-tRNA synthetase [EC:6.1.1.12]	435		
WP_003517040.1	K01892	HARS; histidyl-tRNA synthetase [EC:6.1.1.21]	274		
WP_003517042.1			61	K03763	1
WP_003517043.1			101		
WP_003517044.1	K02654	pilD; leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]	26		
WP_003517045.1			16	K01803	1
WP_003517046.1			9	K02651	2
WP_003517055.1	K12511	tadC; tight adherence protein C	36		
WP_003517056.1	K12510	tadB; tight adherence protein B	141		
WP_003517058.1	K02283	cpaF; pilus assembly protein CpaF	264		
WP_003517060.1			106		
WP_003517062.1			232		
WP_003517064.1			123		
WP_003517065.1	K07560	dtd; D-tyrosyl-tRNA(Tyr) deacylase [EC:3.1.-.-]	107		
WP_003517067.1	K00951	relA; GTP pyrophosphokinase [EC:2.7.6.5]	499		
WP_003517069.1	K00759	APRT; adenine phosphoribosyltransferase [EC:2.4.2.7]	111		
WP_003517071.1	K07462	recJ; single-stranded-DNA-specific exonuclease [EC:3.1.-.-]	287		
WP_003517073.1	K09117	uncharacterized protein	83		
WP_003517075.1	K02970	RP-S21; small subunit ribosomal protein S21	59		
WP_003517076.1			208		
WP_003517085.1	K03111	ssb; single-strand DNA-binding protein	68		
WP_003517087.1			30		
WP_003517088.1	K00012	UGDH; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	278		
WP_003517090.1			193		
WP_003517096.1			41		
WP_003517098.1			184		
WP_003517100.1			124		
WP_003517102.1			174		
WP_003517105.1			37		
WP_003517107.1			55		
WP_003517108.1			182	K08679	38
WP_003517110.1	K02601	nusG; transcriptional antiterminator NusG	36		
WP_003517112.1			152	K08253	9
WP_003517114.1			11	K10804	2
WP_003517116.1			15	K22484	1
WP_003517126.1	K01104	E3.1.3.48; protein-tyrosine phosphatase [EC:3.1.3.48]	130		
WP_003517137.1			30		
WP_003517139.1	K02356	efp; elongation factor P	150		
WP_003517142.1	K01262	pepP; Xaa-Pro aminopeptidase [EC:3.4.11.9]	113		
WP_003517144.1	K03786	aroQ; 3-dehydroquinate dehydratase II [EC:4.2.1.10]	84		
WP_003517145.1	K01151	nfo; deoxyribonuclease IV [EC:3.1.21.2]	161		
WP_003517147.1	K02241	comFB; competence protein ComFB	33		
WP_003517149.1	K02654	pilD; leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]	74		
WP_003517151.1	K02652	pilB; type IV pilus assembly protein PilB	212		
WP_003517153.1	K00014	aroE; shikimate dehydrogenase [EC:1.1.1.25]	129		
WP_003517159.1	K07015	uncharacterized protein	76		
WP_003517161.1	K00826	E2.6.1.42; branched-chain amino acid aminotransferase [EC:2.6.1.42]	342		
WP_003517163.1			11	K07403	10
WP_003517165.1			248		
WP_003517167.1			21	K01866	1
WP_003517177.1			54		
WP_003517179.1			23	K00819	1
WP_003517181.1	K01915	glnA; glutamine synthetase [EC:6.3.1.2]	656		
WP_003517183.1	K00177	korC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]	145		
WP_003517185.1	K00175	korB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	229		
WP_003517187.1	K00174	korA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	240		
WP_003517189.1	K00176	korD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]	39		
WP_003517192.1			60	K01586	1
WP_003517194.1			102		
WP_003517198.1			160		
WP_003517200.1	K01817	trpF; phosphoribosylanthranilate isomerase [EC:5.3.1.24]	124		
WP_003517204.1	K00766	trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18]	205		
WP_003517206.1	K01658	trpG; anthranilate synthase component II [EC:4.1.3.27]	152	K13497	4
WP_003517208.1	K01657	trpE; anthranilate synthase component I [EC:4.1.3.27]	295		
WP_003517211.1			151		
WP_003517212.1	K06942	ychF; ribosome-binding ATPase	276		
WP_003517213.1	K03408	cheW; purine-binding chemotaxis protein CheW	62		
WP_003517214.1	K03856	AROA2; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	300		
WP_003517215.1			60	K13590	3
WP_003517216.1			106		
WP_003517217.1			32		
WP_003517218.1	K08309	slt; soluble lytic murein transglycosylase [EC:4.2.2.-]	77		
WP_003517221.1	K02335	polA; DNA polymerase I [EC:2.7.7.7]	491		
WP_003517222.1			18	K04079	1
WP_003517223.1			42	K19221	1
WP_003517230.1			11	K03088	1
WP_003517233.1			11	K02488	2
WP_003517235.1			199		
WP_003517237.1	K06967	trmK; tRNA (adenine22-N1)-methyltransferase [EC:2.1.1.217]	79		
WP_003517241.1			10	K09446	1
WP_003517243.1	K03086	rpoD; RNA polymerase primary sigma factor	277		
WP_003517249.1	K01129	dgt; dGTPase [EC:3.1.5.1]	230		
WP_003517251.1			156		
WP_003517254.1			10	K04612	1
WP_003517255.1	K01579	panD; aspartate 1-decarboxylase [EC:4.1.1.11]	92		
WP_003517257.1	K01918	panC; pantoate--beta-alanine ligase [EC:6.3.2.1]	226		
WP_003517259.1	K00606	panB; 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]	179		
WP_003517262.1	K03074	secF; preprotein translocase subunit SecF	124		
WP_003517264.1	K03072	secD; preprotein translocase subunit SecD	124	K12257	13
WP_003517266.1	K09163	uncharacterized protein	143		
WP_003517268.1	K06871	uncharacterized protein	308		
WP_003517270.1	K06180	rluD; 23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23]	223		
WP_003517272.1	K03101	lspA; signal peptidase II [EC:3.4.23.36]	59		
WP_003517274.1	K02035	ABC.PE.S; peptide/nickel transport system substrate-binding protein	181		
WP_003517276.1	K05810	yfiH; polyphenol oxidase [EC:1.10.3.-]	144		
WP_003517278.1			34	K01181	21
WP_003517280.1			143		
WP_003517282.1			43	K01156	1
WP_003517284.1			102		
WP_003517285.1	K01886	QARS; glutaminyl-tRNA synthetase [EC:6.1.1.18]	596		
WP_003517292.1			151		
WP_003517294.1			414		
WP_003517296.1			286		
WP_003517298.1			22		
WP_003517300.1			9	K07152	1
WP_003517302.1			1	K05349	1
WP_003517304.1			2	K07001	1
WP_003517306.1	K00865	glxK; glycerate 2-kinase [EC:2.7.1.165]	248		
WP_003517308.1			12	K03497	1
WP_003517312.1			58		
WP_003517314.1			62		
WP_003517316.1	K02012	afuA; iron(III) transport system substrate-binding protein	167		
WP_003517318.1	K02010	afuC; iron(III) transport system ATP-binding protein [EC:3.6.3.30]	230		
WP_003517320.1	K02011	afuB; iron(III) transport system permease protein	436		
WP_003517322.1	K07718	"yesM; two-component system, sensor histidine kinase YesM [EC:2.7.13.3]"	23		
WP_003517324.1			27	K07720	19
WP_003517326.1	K01619	deoC; deoxyribose-phosphate aldolase [EC:4.1.2.4]	156		
WP_003517328.1	K01489	cdd; cytidine deaminase [EC:3.5.4.5]	72		
WP_003517330.1	K02057	ABC.SS.P; simple sugar transport system permease protein	183		
WP_003517334.1	K02056	ABC.SS.A; simple sugar transport system ATP-binding protein [EC:3.6.3.17]	329		
WP_003517337.1			123	K04069	29
WP_003517339.1			366		
WP_003517341.1	K07335	bmpA; basic membrane protein A and related proteins	186		
WP_003517343.1	K03784	deoD; purine-nucleoside phosphorylase [EC:2.4.2.1]	202		
WP_003517346.1			68	K03177	1
WP_003517348.1	K02588	nifH; nitrogenase iron protein NifH [EC:1.18.6.1]	205		
WP_003517350.1					
WP_003517352.1	K02050	ABC.SN.P; NitT/TauT family transport system permease protein	135		
WP_003517353.1	K02051	ABC.SN.S; NitT/TauT family transport system substrate-binding protein	127		
WP_003517355.1	K01740	metY; O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]	251		
WP_003517357.1	K02585	nifB; nitrogen fixation protein NifB	157		
WP_003517359.1			7	K02596	4
WP_003517362.1	K02591	nifK; nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]	353		
WP_003517364.1	K02586	nifD; nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	363		
WP_003517366.1			60		
WP_003517368.1	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein	92		
WP_003517370.1	K02004	ABC.CD.P; putative ABC transport system permease protein	124		
WP_003517372.1			18	K02154	
WP_003517374.1	K01738	cysK; cysteine synthase A [EC:2.5.1.47]	217	K17216	20
WP_003517375.1	K01760	metC; cystathionine beta-lyase [EC:4.4.1.8]	262		
WP_003517377.1	K02071	metN; D-methionine transport system ATP-binding protein	123		
WP_003517378.1	K02072	metI; D-methionine transport system permease protein	116		
WP_003517379.1	K02073	metQ; D-methionine transport system substrate-binding protein	106		
WP_003517381.1	K00567	ogt; methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]	78		
WP_003517383.1			35		
WP_003517385.1			23	K15691	1
WP_003517389.1			23	K15256	16
WP_003517391.1					
WP_003517393.1			54		
